"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3,C4,C8,C9,C10","220pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","5",""
"C5,C6,C7,C12","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4",""
"C11","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C13,C14,C16,C17,C18","82pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","5",""
"C15","47nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"D1","LED","~","LED_THT:LED_D3.0mm_Clear","1",""
"J1","HeadPhone","~","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","1",""
"J2","Stethescope Out","~","","1",""
"J3","AFE In","~","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","1",""
"J4","Record","~","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","1",""
"J5","PWR","~","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1",""
"J6","Switch","~","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1",""
"J7","POT con","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"MK1","Prim MIC","~","","1",""
"MK2","Sec MIC","~","","1",""
"R1,R3,R8,R9","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R2,R6,R24","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R4,R5,R10,R16","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R7","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R11,R12,R13,R14,R17,R18,R19,R20,R21,R23","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R15,R22","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"SW1","Op Mode","~","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1",""
"U1","INA128","http://www.ti.com/lit/ds/symlink/ina128.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2,U3","NE5532","http://www.ti.com/lit/ds/symlink/ne5532.pdf","Package_DIP:DIP-8_W7.62mm","2",""
"U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm","1",""
